filepath,xmin,xmax,ymin,ymax
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars364.xml,61,115,140,167
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N104.xml,66,154,166,197
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N138.xml,36,465,64,168
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars358.xml,44,107,94,107
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N61.xml,158,350,252,297
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars78.xml,149,249,210,239
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N75.xml,466,740,680,737
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars50.xml,116,525,55,262
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars199.xml,59,310,88,158
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars44.xml,18,430,153,271
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N49.xml,196,352,135,173
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars172.xml,173,301,209,239
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars166.xml,148,201,123,150
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars93.xml,347,367,122,132
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars87.xml,3,45,205,220
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars86.xml,332,447,176,204
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars92.xml,281,393,185,271
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars167.xml,176,327,254,285
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars173.xml,170,252,118,163
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N48.xml,156,335,259,303
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars45.xml,204,280,103,175
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars198.xml,166,273,225,246
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars51.xml,264,318,141,162
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N74.xml,161,366,210,250
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars79.xml,238,350,363,422
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars359.xml,228,266,228,240
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N139.xml,341,607,954,1011
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars403.xml,296,332,189,209
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N105.xml,360,434,174,195
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars365.xml,293,373,205,226
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars371.xml,313,371,135,150
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N111.xml,80,239,364,402
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars417.xml,90,273,145,196
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars239.xml,176,326,254,284
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars211.xml,28,387,64,235
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars205.xml,156,221,162,199
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N9.xml,142,441,55,167
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars229.xml,253,284,163,177
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars201.xml,216,367,171,208
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars215.xml,92,162,105,123
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars349.xml,38,146,225,249
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N129.xml,301,504,351,402
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars413.xml,237,271,143,162
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars375.xml,144,300,114,145
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars361.xml,148,305,113,178
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N101.xml,31,139,128,161
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars407.xml,311,346,183,202
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars55.xml,143,210,171,208
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars188.xml,32,43,184,193
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N58.xml,221,430,190,231
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars41.xml,109,159,182,206
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars69.xml,77,124,150,175
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N64.xml,19,94,249,314
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N70.xml,186,395,376,430
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars96.xml,133,261,126,160
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars82.xml,190,257,59,77
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars177.xml,149,272,166,193
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars163.xml,220,360,173,200
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars162.xml,201,268,168,213
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars176.xml,72,308,67,185
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars83.xml,251,326,295,341
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars97.xml,98,297,102,191
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N65.xml,1024,1273,611,680
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars68.xml,189,245,142,171
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars40.xml,261,317,186,211
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N59.xml,1238,2468,1012,1269
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars189.xml,285,423,241,286
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars54.xml,148,257,61,118
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N100.xml,134,301,312,350
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars360.xml,52,94,167,200
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars406.xml,285,374,185,226
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars412.xml,221,362,172,202
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars374.xml,354,441,118,142
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N114.xml,15,200,33,126
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N128.xml,58,221,198,271
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars348.xml,156,250,121,204
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars214.xml,188,214,121,134
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars200.xml,95,195,189,217
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars228.xml,86,113,127,143
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N8.xml,788,1525,1675,1851
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N248.xml,288,429,248,281
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars216.xml,205,280,214,262
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars202.xml,197,249,135,159
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars389.xml,77,222,305,370
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars404.xml,162,235,208,244
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars362.xml,139,162,172,179
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N102.xml,164,316,216,243
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N116.xml,157,316,226,278
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars376.xml,159,252,178,203
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars410.xml,51,219,150,212
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars42.xml,177,217,140,159
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars56.xml,87,339,82,146
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N73.xml,124,209,102,130
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N67.xml,164,336,162,195
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars81.xml,297,327,100,125
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N98.xml,563,675,207,238
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars95.xml,278,407,182,263
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars148.xml,135,218,134,158
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars160.xml,209,281,137,174
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars174.xml,283,306,159,168
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars175.xml,295,456,237,367
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars161.xml,312,406,283,311
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars149.xml,212,245,182,203
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars94.xml,176,251,210,248
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N99.xml,158,389,129,193
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars80.xml,94,279,148,186
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N66.xml,163,320,247,280
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N72.xml,186,325,177,212
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars57.xml,270,321,162,195
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars43.xml,142,319,111,161
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars377.xml,177,216,138,161
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N117.xml,120,249,161,202
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars411.xml,160,249,153,197
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars405.xml,241,299,207,232
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N103.xml,813,1067,665,724
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars363.xml,153,254,169,204
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars388.xml,149,255,130,158
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars203.xml,116,271,112,165
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars217.xml,149,223,196,231
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N212.xml,159,353,115,173
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N206.xml,121,215,120,147
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars270.xml,75,125,173,195
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars264.xml,222,295,300,337
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars258.xml,158,230,184,232
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N164.xml,248,421,121,174
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars304.xml,143,222,114,156
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars310.xml,241,348,369,417
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N170.xml,299,442,337,386
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars338.xml,297,316,193,205
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N158.xml,122,224,268,292
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars18.xml,313,405,286,311
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N15.xml,582,853,622,691
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars24.xml,167,240,202,221
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars30.xml,155,200,169,182
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars106.xml,138,177,79,92
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars3.xml,142,261,128,157
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars112.xml,49,164,135,191
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars113.xml,151,306,113,180
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars2.xml,229,270,176,193
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars107.xml,141,311,113,164
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars31.xml,286,400,173,211
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N28.xml,738,1009,654,722
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars25.xml,177,216,139,159
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N14.xml,1058,1351,660,756
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars19.xml,148,221,195,232
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars339.xml,209,283,135,169
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N171.xml,13,444,137,270
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars311.xml,295,355,166,185
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars305.xml,361,434,167,183
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N165.xml,186,374,290,335
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars259.xml,324,475,166,205
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars265.xml,87,216,166,212
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars271.xml,262,318,141,160
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N207.xml,213,339,280,307
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N213.xml,131,209,129,153
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N205.xml,322,479,169,203
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N211.xml,74,160,149,175
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N239.xml,106,263,238,276
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars298.xml,166,233,148,184
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars267.xml,274,343,118,138
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars273.xml,74,264,132,173
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N198.xml,214,335,138,169
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars313.xml,176,252,211,246
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N173.xml,80,335,150,243
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N167.xml,345,848,242,416
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars307.xml,172,437,163,220
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N16.xml,887,1173,625,696
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars33.xml,94,306,56,169
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars27.xml,148,245,127,159
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars111.xml,319,478,165,204
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars105.xml,152,206,147,159
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars0.xml,226,419,125,173
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars139.xml,315,337,189,197
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars138.xml,153,254,141,185
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars1.xml,134,262,128,160
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars104.xml,195,244,266,282
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars110.xml,286,328,133,159
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars26.xml,258,321,184,213
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars32.xml,200,251,149,167
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N17.xml,88,216,507,556
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars306.xml,139,249,282,310
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N166.xml,809,1034,246,295
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N172.xml,147,370,133,184
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars312.xml,111,518,66,246
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N199.xml,45,112,206,255
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars272.xml,170,316,81,121
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars266.xml,11,88,57,76
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars299.xml,101,270,136,176
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N238.xml,165,341,129,170
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N210.xml,143,337,210,254
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N204.xml,94,206,307,334
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N200.xml,196,442,227,293
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N214.xml,167,277,189,226
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars289.xml,163,271,140,173
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars262.xml,243,285,184,205
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars276.xml,115,276,116,156
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N189.xml,178,381,121,181
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars316.xml,377,476,405,439
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N176.xml,195,383,320,358
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N162.xml,147,336,169,209
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars302.xml,222,425,98,149
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars36.xml,203,285,193,229
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars22.xml,207,260,104,116
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars128.xml,112,306,65,173
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars114.xml,7,493,16,256
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars100.xml,175,214,114,131
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars5.xml,226,242,218,240
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars4.xml,156,503,82,253
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars101.xml,167,240,202,220
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars115.xml,315,407,287,311
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars129.xml,204,282,213,267
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N12.xml,976,1284,669,754
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars23.xml,143,213,172,211
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars37.xml,146,246,114,163
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars303.xml,150,247,211,237
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N163.xml,230,316,203,231
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N177.xml,331,538,263,317
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars317.xml,164,240,202,220
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N188.xml,587,711,760,832
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars277.xml,48,72,218,225
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars263.xml,129,232,260,290
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars288.xml,97,164,148,169
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N215.xml,85,258,390,446
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N201.xml,157,290,193,229
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N229.xml,358,1031,294,540
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N217.xml,404,585,429,468
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N203.xml,765,1258,821,905
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars249.xml,118,149,91,99
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars275.xml,99,162,150,167
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars261.xml,1,464,74,154
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N149.xml,186,324,116,148
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars329.xml,166,224,142,176
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars301.xml,205,303,107,135
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars315.xml,12,385,98,181
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N175.xml,183,250,205,229
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars21.xml,191,255,165,192
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars35.xml,91,137,186,208
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N38.xml,397,645,590,641
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars103.xml,230,248,129,134
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars6.xml,112,373,114,239
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars117.xml,42,86,126,137
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars116.xml,149,267,218,247
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars7.xml,166,206,141,154
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars102.xml,66,322,147,199
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N11.xml,131,187,130,144
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars34.xml,147,260,181,206
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars20.xml,18,48,135,152
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N174.xml,315,665,442,531
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars314.xml,195,274,149,209
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars300.xml,259,317,185,215
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N160.xml,153,251,196,217
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars328.xml,156,248,149,170
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N148.xml,244,369,240,293
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars260.xml,170,232,112,129
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars274.xml,196,253,149,169
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars248.xml,184,311,143,191
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N202.xml,157,329,260,296
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N216.xml,322,682,300,371
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N233.xml,99,223,20,50
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N227.xml,626,768,280,359
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars292.xml,91,137,187,208
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars286.xml,201,288,191,230
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars251.xml,136,210,134,153
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars245.xml,91,164,110,138
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars279.xml,42,202,131,243
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N186.xml,464,561,286,344
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N192.xml,543,769,390,461
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars325.xml,230,262,180,196
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N145.xml,233,432,88,151
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N151.xml,144,277,216,252
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars331.xml,164,235,220,240
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N179.xml,203,297,217,240
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars319.xml,167,232,228,259
/Users/szokirov/Documents/GitHub/ANPR-TF/images/Cars39.xml,225,328,180,213
/Users/szokirov/Documents/GitHub/ANPR-TF/images/N34.xml,576,902,487,596
